Timestamp,SubsystemID,MaxTemperature,FanID,FanSpeed,FanMaxRPM
2025-01-26 15:08:29,1,53.96,1,66,100
2025-01-26 15:08:29,1,53.96,2,66,100
2025-01-26 15:08:30,1,56.41,1,70,100
2025-01-26 15:08:30,1,56.41,2,70,100
2025-01-26 15:08:30,1,42.93,1,49,100
2025-01-26 15:08:30,1,42.93,2,49,100
2025-01-26 15:08:30,1,37.36,1,40,100
2025-01-26 15:08:30,1,37.36,2,40,100
2025-01-26 15:08:30,1,32.46,1,32,100
2025-01-26 15:08:30,1,32.46,2,32,100
2025-01-26 15:08:30,1,91.72,1,100,100
2025-01-26 15:08:30,1,91.72,2,100,100
2025-01-26 15:08:30,1,93.03,1,100,100
2025-01-26 15:08:30,1,93.03,2,100,100
2025-01-26 15:08:30,1,2.49,1,20,100
2025-01-26 15:08:30,1,2.49,2,20,100
2025-01-26 15:08:30,1,38.47,1,42,100
2025-01-26 15:08:30,1,38.47,2,42,100
2025-01-26 15:08:30,1,74.67,1,99,100
2025-01-26 15:08:30,1,74.67,2,99,100
2025-01-26 15:08:30,1,31.11,1,30,100
2025-01-26 15:08:30,1,31.11,2,30,100
2025-01-26 15:08:31,1,4.04,1,20,100
2025-01-26 15:08:31,1,4.04,2,20,100
2025-01-26 15:08:31,1,95.38,1,100,100
2025-01-26 15:08:31,1,95.38,2,100,100
2025-01-26 15:08:31,1,27.54,1,24,100
2025-01-26 15:08:31,1,27.54,2,24,100
2025-01-26 15:08:31,1,96.91,1,100,100
2025-01-26 15:08:31,1,96.91,2,100,100
2025-01-26 15:08:31,1,46.01,1,54,100
2025-01-26 15:08:31,1,46.01,2,54,100
2025-01-26 15:08:31,1,43.15,1,49,100
2025-01-26 15:08:31,1,43.15,2,49,100
2025-01-26 15:08:31,1,61.38,1,78,100
2025-01-26 15:08:31,1,61.38,2,78,100
2025-01-26 15:08:31,1,17.91,1,20,100
2025-01-26 15:08:31,1,17.91,2,20,100
2025-01-26 15:08:31,1,72.56,1,96,100
2025-01-26 15:08:31,1,72.56,2,96,100
2025-01-26 15:08:31,1,12.69,1,20,100
2025-01-26 15:08:31,1,12.69,2,20,100
2025-01-26 15:08:32,1,13.29,1,20,100
2025-01-26 15:08:32,1,13.29,2,20,100
2025-01-26 15:08:32,1,29.12,1,27,100
2025-01-26 15:08:32,1,29.12,2,27,100
2025-01-26 15:08:32,1,11.35,1,20,100
2025-01-26 15:08:32,1,11.35,2,20,100
2025-01-26 15:08:32,1,57.51,1,72,100
2025-01-26 15:08:32,1,57.51,2,72,100
2025-01-26 15:08:32,1,65.01,1,84,100
2025-01-26 15:08:32,1,65.01,2,84,100
2025-01-26 15:08:32,1,69.15,1,91,100
2025-01-26 15:08:32,1,69.15,2,91,100
2025-01-26 15:08:32,1,11.10,1,20,100
2025-01-26 15:08:32,1,11.10,2,20,100
2025-01-26 15:08:32,1,5.67,1,20,100
2025-01-26 15:08:32,1,5.67,2,20,100
2025-01-26 15:08:32,1,62.16,1,79,100
2025-01-26 15:08:32,1,62.16,2,79,100
2025-01-26 15:08:32,1,32.01,1,31,100
2025-01-26 15:08:32,1,32.01,2,31,100
2025-01-26 15:08:33,1,10.84,1,20,100
2025-01-26 15:08:33,1,10.84,2,20,100
2025-01-26 15:08:33,1,61.92,1,79,100
2025-01-26 15:08:33,1,61.92,2,79,100
2025-01-26 15:08:33,1,9.49,1,20,100
2025-01-26 15:08:33,1,9.49,2,20,100
2025-01-26 15:08:33,1,17.41,1,20,100
2025-01-26 15:08:33,1,17.41,2,20,100
2025-01-26 15:08:33,1,63.99,1,82,100
2025-01-26 15:08:33,1,63.99,2,82,100
2025-01-26 15:08:33,1,48.56,1,58,100
2025-01-26 15:08:33,1,48.56,2,58,100
2025-01-26 15:08:33,1,59.45,1,75,100
2025-01-26 15:08:33,1,59.45,2,75,100
